udi_less,df,udi,name,y,x,z,cda,udi_more,da
13.272727272727273,12.1506284,38.42424242424242,zone2,1.0,7.5,0.765,-122.8052525252525,48.303030303030305,83.0909090909091
12.909090909090908,10.1469637,38.303030303030305,zone2,1.0,8.0,0.765,-0.4527272727272731,48.78787878787879,82.60606060606061
15.212121212121213,6.03825899,37.93939393939394,zone2,1.0,8.5,0.765,-76.18727272727281,46.84848484848485,79.27272727272727
20.78787878787879,3.7224509699999997,73.63636363636364,zone2,1.0,9.0,0.765,46.78202020202019,5.575757575757576,60.0
95.39393939393939,1.93194126,2.484848484848485,zone2,1.0,9.5,0.765,4.525050505050506,2.121212121212121,4.121212121212121
11.454545454545455,5.11453898,73.21212121212122,zone2,1.5,5.5,0.765,86.29939393939398,15.333333333333334,80.78787878787878
11.696969696969697,5.5139954399999995,63.45454545454545,zone2,1.5,6.0,0.765,85.42424242424235,24.848484848484848,79.15151515151516
13.090909090909092,7.44121755,49.63636363636363,zone2,1.5,6.5,0.765,-96.66909090909093,37.27272727272727,81.81818181818181
14.06060606060606,8.18316825,55.45454545454545,zone2,1.5,7.0,0.765,-38.169696969696936,30.484848484848484,78.78787878787878
13.515151515151516,8.35422995,36.84848484848485,zone2,1.5,7.5,0.765,-90.31878787878787,49.63636363636363,81.93939393939394
13.272727272727273,8.59265817,44.303030303030305,zone2,1.5,8.0,0.765,-65.0349494949495,42.42424242424242,80.84848484848484
15.454545454545455,6.250913929999999,57.93939393939394,zone2,1.5,8.5,0.765,44.615757575757584,26.606060606060606,74.18181818181819
17.151515151515152,4.637947860000001,75.51515151515152,zone2,1.5,9.0,0.765,26.24585858585857,7.333333333333333,70.96969696969697
95.45454545454545,2.30444947,2.9696969696969697,zone2,1.5,9.5,0.765,-230.97252525252526,1.5757575757575757,3.8181818181818183
15.696969696969697,3.72462318,83.15151515151516,zone2,2.0,5.5,0.765,80.7529292929293,1.1515151515151516,70.06060606060606
14.0,4.31858582,76.12121212121212,zone2,2.0,6.0,0.765,11.773535353535356,9.878787878787879,75.93939393939394
14.242424242424242,5.08558805,57.515151515151516,zone2,2.0,6.5,0.765,-92.03959595959608,28.242424242424242,78.72727272727273
14.484848484848484,5.89299502,52.36363636363637,zone2,2.0,7.0,0.765,-67.68424242424243,33.15151515151515,78.0
14.363636363636363,6.174515929999999,50.18181818181818,zone2,2.0,7.5,0.765,-129.20000000000007,35.45454545454545,80.3030303030303
23.636363636363637,6.32916493,67.63636363636364,zone2,2.0,8.0,0.765,26.35232323232324,8.727272727272727,53.57575757575758
12.545454545454545,6.21091977,45.21212121212121,zone2,2.0,8.5,0.765,-28.303030303030344,42.24242424242424,82.3030303030303
11.272727272727273,7.28245616,47.45454545454545,zone2,2.0,9.0,0.765,86.62161616161616,41.27272727272727,81.33333333333333
